rank,name,final_score,semantic_score,experience_score,behavioral_score,retrieval_score,career_growth_score,location_score,education_score,skill_depth_score,skill_duration_score,skill_endorsement_score,leadership_score,job_stability_score,startup_mindset_score,title_semantic_score,experience_semantic_score,honeypot_flag,honeypot_type,reasoning,current_title,current_company,experience_years,location
1,Candidate_0125,0.8282,0.8087,1.0,0.7316,0.95,0.62,1.0,0.9,0.73,1.0,1.0,0.0,1.0,1.0,0.6193,0.7457,False,,"Rank #1: Strong match for retrieval-focused AI engineering role. 7 years at Meesho, CRED building semantic search, ranking, or retrieval systems with Vector Databases, LoRA, FastAPI. Behavioral signals: actively looking and open to work; immediate availability (notice period 0 days); strong open-source activity (github score 71). JD fit: meets the 5-9 year experience requirement (7 yrs); demonstrates retrieval/ranking expertise required by the JD; has the required expert-level Python.",NLP Engineer,Zoho,7.0,Noida
2,Candidate_0033,0.8227,0.7909,1.0,0.7812,0.9,0.62,1.0,1.0,0.5923,1.0,1.0,0.0,1.0,1.0,0.656,0.7347,False,,"Rank #2: Strong match for retrieval-focused AI engineering role. 9 years at Unacademy, ShareChat building semantic search, ranking, or retrieval systems with Ranking Systems, A/B Testing, PyTorch. Behavioral signals: actively looking and open to work; high recruiter engagement (response rate 0.90); immediate availability (notice period 15 days); strong open-source activity (github score 94). JD fit: meets the 5-9 year experience requirement (9 yrs); demonstrates retrieval/ranking expertise required by the JD; has the required expert-level Python.",AI Platform Engineer,CRED,9.0,Bangalore
3,Candidate_0140,0.8222,0.7896,1.0,0.6897,0.95,0.65,1.0,1.0,0.6833,1.0,1.0,0.0,1.0,1.0,0.6681,0.6921,False,,"Rank #3: Strong match for retrieval-focused AI engineering role. 5 years at Cashfree, Setu building semantic search, ranking, or retrieval systems with Transformers, LoRA, Retrieval Systems. Behavioral signals: actively looking and open to work; high recruiter engagement (response rate 0.99); strong open-source activity (github score 96); high offer acceptance rate (0.86). JD fit: meets the 5-9 year experience requirement (5 yrs); demonstrates retrieval/ranking expertise required by the JD; has the required expert-level Python.",Ranking Engineer,Razorpay,5.0,Bangalore
4,Candidate_0066,0.8203,0.784,1.0,0.7138,0.95,0.62,1.0,1.0,0.6833,1.0,1.0,0.0,1.0,1.0,0.5453,0.7975,False,,"Rank #4: Strong match for retrieval-focused AI engineering role. 7 years at Freshworks, ShareChat building semantic search, ranking, or retrieval systems with Semantic Search, MRR, Learning to Rank. Behavioral signals: actively looking and open to work; strong open-source activity (github score 75). JD fit: meets the 5-9 year experience requirement (7 yrs); demonstrates retrieval/ranking expertise required by the JD; has the required expert-level Python.",Retrieval Engineer,Unacademy,7.0,Hyderabad
5,Candidate_0048,0.8201,0.748,1.0,0.7106,1.0,0.62,1.0,1.0,0.7167,1.0,1.0,0.0,1.0,1.0,0.668,0.7391,False,,"Rank #5: Strong match for retrieval-focused AI engineering role. 9 years at Meesho, Meta building semantic search, ranking, or retrieval systems with Elasticsearch, NLP, MAP. Behavioral signals: actively looking and open to work; high recruiter engagement (response rate 0.87); strong open-source activity (github score 83). JD fit: meets the 5-9 year experience requirement (9 yrs); demonstrates retrieval/ranking expertise required by the JD; has the required expert-level Python.",AI Infrastructure Engineer,Google,9.0,Bangalore
6,Candidate_0078,0.8193,0.8047,1.0,0.6872,0.95,0.62,1.0,1.0,0.6875,1.0,1.0,0.0,1.0,0.85,0.6193,0.7482,False,,"Rank #6: Strong match for retrieval-focused AI engineering role. 7 years at Zepto, Cashfree building semantic search, ranking, or retrieval systems with Python, MLflow, RAG. Behavioral signals: actively looking and open to work; high offer acceptance rate (0.98). JD fit: meets the 5-9 year experience requirement (7 yrs); demonstrates retrieval/ranking expertise required by the JD; has the required expert-level Python.",NLP Engineer,BrowserStack,7.0,Noida
7,Candidate_0106,0.8185,0.7826,1.0,0.7549,0.9,0.65,1.0,1.0,0.6067,1.0,1.0,0.0,1.0,1.0,0.6193,0.7194,False,,"Rank #7: Strong match for retrieval-focused AI engineering role. 5 years at Freshworks, Zepto building semantic search, ranking, or retrieval systems with Distributed Systems, NDCG, Fine-Tuning. Behavioral signals: actively looking and open to work; high recruiter engagement (response rate 0.81); strong open-source activity (github score 93); high offer acceptance rate (0.96). JD fit: meets the 5-9 year experience requirement (5 yrs); demonstrates retrieval/ranking expertise required by the JD.",NLP Engineer,Cashfree,5.0,Delhi NCR
8,Candidate_0016,0.818,0.818,1.0,0.6632,0.9,0.62,1.0,0.7,0.84,0.9867,1.0,0.0,1.0,1.0,0.7376,0.751,False,,"Rank #8: Strong match for retrieval-focused AI engineering role. 6 years at Setu, Flipkart building semantic search, ranking, or retrieval systems with Transformers, PyTorch, Vector Databases. Behavioral signals: actively looking and open to work; strong open-source activity (github score 72). JD fit: meets the 5-9 year experience requirement (6 yrs); demonstrates retrieval/ranking expertise required by the JD; has the required expert-level Python.",Senior AI Engineer,Meesho,6.0,Mumbai
9,Candidate_0122,0.817,0.7757,1.0,0.6869,0.95,0.62,1.0,1.0,0.78,1.0,1.0,0.0,1.0,1.0,0.4649,0.7735,False,,"Rank #9: Strong match for retrieval-focused AI engineering role. 6 years at CRED, Zomato building semantic search, ranking, or retrieval systems with PyTorch, Retrieval Systems, Kubernetes. Behavioral signals: actively looking and open to work; high recruiter engagement (response rate 0.83); strong open-source activity (github score 86). JD fit: meets the 5-9 year experience requirement (6 yrs); demonstrates retrieval/ranking expertise required by the JD; has the required expert-level Python.",Vector Search Engineer,Setu,6.0,Noida
10,Candidate_0145,0.8162,0.7464,1.0,0.7335,1.0,0.62,1.0,1.0,0.6567,1.0,1.0,0.0,1.0,1.0,0.5707,0.7231,False,,"Rank #10: Strong match for retrieval-focused AI engineering role. 6 years at Apple, Zepto building semantic search, ranking, or retrieval systems with MLflow, Learning to Rank, LLMs. Behavioral signals: actively looking and open to work; high recruiter engagement (response rate 0.87); immediate availability (notice period 0 days); strong open-source activity (github score 77). JD fit: meets the 5-9 year experience requirement (6 yrs); demonstrates retrieval/ranking expertise required by the JD.",Search Infrastructure Engineer,Swiggy,6.0,Pune
11,Candidate_0009,0.816,0.8064,1.0,0.6913,0.95,0.62,1.0,1.0,0.5321,1.0,1.0,0.0,1.0,0.85,0.7376,0.7534,False,,"Rank #11: Strong match for retrieval-focused AI engineering role. 5 years at Zomato, Zoho building semantic search, ranking, or retrieval systems with Pinecone, Embeddings, Learning to Rank. Behavioral signals: actively looking and open to work; high offer acceptance rate (0.93). JD fit: meets the 5-9 year experience requirement (5 yrs); demonstrates retrieval/ranking expertise required by the JD; has the required expert-level Python.",Senior AI Engineer,Setu,5.0,Pune
12,Candidate_0030,0.8157,0.7705,1.0,0.7367,0.9,0.62,1.0,1.0,0.7179,1.0,1.0,0.0,1.0,1.0,0.5707,0.7248,False,,"Rank #12: Strong match for retrieval-focused AI engineering role. 7 years at CRED, Krutrim building semantic search, ranking, or retrieval systems with Learning to Rank, A/B Testing, NDCG. Behavioral signals: actively looking and open to work; high recruiter engagement (response rate 0.86); immediate availability (notice period 0 days); strong open-source activity (github score 97); high offer acceptance rate (0.82). JD fit: meets the 5-9 year experience requirement (7 yrs); demonstrates retrieval/ranking expertise required by the JD.",Search Infrastructure Engineer,Swiggy,7.0,Mumbai
