candidate_id,rank,score,reasoning
CAND_0018499,1,0.7263,"Rank #1: Strong match for retrieval-focused AI engineering role. 7 years at Zomato, Google building semantic search, ranking, or retrieval systems with Deep Learning, Weaviate, Recommendation Systems. Behavioral signals: actively looking and open to work; immediate availability (notice period 15 days); strong open-source activity (github score 94.8); willing to relocate; high recruiter search visibility (1291 appearances in 30d). JD fit: meets the 5-9 year experience requirement (7 yrs); demonstrates retrieval/ranking expertise required by the JD."
CAND_0008425,2,0.702,"Rank #2: Strong match for retrieval-focused AI engineering role. 8 years at Ola, Zomato building semantic search, ranking, or retrieval systems with Learning to Rank, Qdrant, Weights & Biases. Located in Kolkata, West Bengal, outside preferred cities. Behavioral signals: actively looking and open to work; high recruiter search visibility (1136 appearances in 30d). JD fit: meets the 5-9 year experience requirement (8 yrs); demonstrates retrieval/ranking expertise required by the JD; has the required expert-level Python."
CAND_0071974,3,0.6994,"Rank #3: Strong match for retrieval-focused AI engineering role. 8 years at Netflix, Meta building semantic search, ranking, or retrieval systems with LoRA, Learning to Rank, Weaviate. Located in Vizag, Andhra Pradesh, outside preferred cities. Behavioral signals: actively looking and open to work; strong open-source activity (github score 82.8); high recruiter search visibility (132 appearances in 30d). JD fit: meets the 5-9 year experience requirement (8 yrs); demonstrates retrieval/ranking expertise required by the JD."
CAND_0081846,4,0.699,"Rank #4: Strong match for retrieval-focused AI engineering role. 7 years at Razorpay, Paytm building semantic search, ranking, or retrieval systems with Data Science, Information Retrieval, LlamaIndex. Located in Jaipur, Rajasthan, outside preferred cities. Behavioral signals: actively looking and open to work; willing to relocate; high recruiter search visibility (347 appearances in 30d). JD fit: meets the 5-9 year experience requirement (7 yrs); demonstrates retrieval/ranking expertise required by the JD; has the required expert-level Python."
CAND_0046064,5,0.6969,"Rank #5: Strong match for retrieval-focused AI engineering role. 9 years at Salesforce, Verloop.io building semantic search, ranking, or retrieval systems with Python, Image Classification, OpenCV. Located in Coimbatore, Tamil Nadu, outside preferred cities. Behavioral signals: actively looking and open to work; high recruiter search visibility (802 appearances in 30d). JD fit: meets the 5-9 year experience requirement (9 yrs); demonstrates retrieval/ranking expertise required by the JD; has the required expert-level Python."
CAND_0011687,6,0.6905,"Rank #6: Strong match for retrieval-focused AI engineering role. 8 years at Niramai, Krutrim building semantic search, ranking, or retrieval systems with TensorFlow, OpenSearch, FAISS. Located in Indore, Madhya Pradesh, outside preferred cities. Behavioral signals: actively looking and open to work; high recruiter engagement (response rate 0.89); immediate availability (notice period 15 days); strong open-source activity (github score 76.3); high recruiter search visibility (403 appearances in 30d). JD fit: meets the 5-9 year experience requirement (8 yrs); demonstrates retrieval/ranking expertise required by the JD."
CAND_0002025,7,0.6899,"Rank #7: Strong match for retrieval-focused AI engineering role. 6 years at Apple, Aganitha building semantic search, ranking, or retrieval systems with Diffusion Models, FAISS, TensorFlow. Located in Trivandrum, Kerala, outside preferred cities. Behavioral signals: actively looking and open to work; strong open-source activity (github score 96.9); high recruiter search visibility (949 appearances in 30d). JD fit: meets the 5-9 year experience requirement (6 yrs); demonstrates retrieval/ranking expertise required by the JD; has the required expert-level Python."
CAND_0020877,8,0.6826,"Rank #8: Strong match for retrieval-focused AI engineering role. 5 years at CRED, BYJU'S building semantic search, ranking, or retrieval systems with QLoRA, Kubeflow, YOLO. Behavioral signals: strong open-source activity (github score 74.4); willing to relocate; high recruiter search visibility (781 appearances in 30d). JD fit: meets the 5-9 year experience requirement (5 yrs); demonstrates retrieval/ranking expertise required by the JD."
CAND_0086022,9,0.6816,"Rank #9: Strong match for retrieval-focused AI engineering role. 5 years at Sarvam AI, Uber building semantic search, ranking, or retrieval systems with Vector Search, MLflow, Recommendation Systems. Located in Kolkata, West Bengal, outside preferred cities. Behavioral signals: actively looking and open to work; immediate availability (notice period 0 days); strong open-source activity (github score 75.2); willing to relocate; high recruiter search visibility (723 appearances in 30d). JD fit: meets the 5-9 year experience requirement (5 yrs); demonstrates retrieval/ranking expertise required by the JD."
CAND_0046525,10,0.6805,"Rank #10: Strong match for retrieval-focused AI engineering role. 6 years at Genpact AI, LinkedIn building semantic search, ranking, or retrieval systems with Elasticsearch, Redux, LangChain. Behavioral signals: actively looking and open to work; high recruiter engagement (response rate 0.88); willing to relocate; high recruiter search visibility (663 appearances in 30d). JD fit: meets the 5-9 year experience requirement (6 yrs); demonstrates retrieval/ranking expertise required by the JD."
CAND_0088025,11,0.6805,"Rank #11: Strong match for retrieval-focused AI engineering role. 9 years at Yellow.ai, Niramai building semantic search, ranking, or retrieval systems with Pinecone, QLoRA, LLMs. Located in Jaipur, Rajasthan, outside preferred cities. Behavioral signals: actively looking and open to work; high recruiter engagement (response rate 0.83); strong open-source activity (github score 74.6); high offer acceptance rate (0.82); high recruiter search visibility (1398 appearances in 30d). JD fit: meets the 5-9 year experience requirement (9 yrs); demonstrates retrieval/ranking expertise required by the JD; has the required expert-level Python."
CAND_0007411,12,0.6779,"Rank #12: Strong match for retrieval-focused AI engineering role. 8 years at Amazon, Yellow.ai building semantic search, ranking, or retrieval systems with OpenSearch, Prompt Engineering, Fine-tuning LLMs. Located in Kochi, Kerala, outside preferred cities. Behavioral signals: immediate availability (notice period 15 days); strong open-source activity (github score 89.5); willing to relocate; high recruiter search visibility (1490 appearances in 30d). JD fit: meets the 5-9 year experience requirement (8 yrs); demonstrates retrieval/ranking expertise required by the JD."
CAND_0006418,13,0.6748,"Rank #13: Strong match for retrieval-focused AI engineering role. 6 years at Verloop.io, Flipkart building semantic search, ranking, or retrieval systems with Kubernetes, gRPC, Semantic Search. Behavioral signals: actively looking and open to work; high recruiter engagement (response rate 0.92); willing to relocate; high recruiter search visibility (372 appearances in 30d). JD fit: meets the 5-9 year experience requirement (6 yrs); demonstrates retrieval/ranking expertise required by the JD."
CAND_0094759,14,0.6743,"Rank #14: Strong match for retrieval-focused AI engineering role. 9 years at Meta, Apple building semantic search, ranking, or retrieval systems with Prompt Engineering, scikit-learn, Hugging Face Transformers. Behavioral signals: strong open-source activity (github score 76.2); willing to relocate; high recruiter search visibility (146 appearances in 30d). JD fit: meets the 5-9 year experience requirement (9 yrs); demonstrates retrieval/ranking expertise required by the JD."
CAND_0080766,15,0.6733,"Rank #15: Strong match for retrieval-focused AI engineering role. 9 years at Aganitha, Swiggy building semantic search, ranking, or retrieval systems with Search Backend, LoRA, Vue.js. Located in Coimbatore, Tamil Nadu, outside preferred cities. Behavioral signals: immediate availability (notice period 0 days); willing to relocate; high recruiter search visibility (1105 appearances in 30d). JD fit: meets the 5-9 year experience requirement (9 yrs); demonstrates retrieval/ranking expertise required by the JD; has the required expert-level Python."
CAND_0077337,16,0.6731,"Rank #16: Strong match for retrieval-focused AI engineering role. 7 years at Razorpay, Glance building semantic search, ranking, or retrieval systems with GANs, Semantic Search, QLoRA. Located in Kochi, Kerala, outside preferred cities. Behavioral signals: actively looking and open to work; high recruiter engagement (response rate 0.95); willing to relocate; high recruiter search visibility (240 appearances in 30d). JD fit: meets the 5-9 year experience requirement (7 yrs); demonstrates retrieval/ranking expertise required by the JD; has the required expert-level Python."
CAND_0039383,17,0.6657,"Rank #17: Strong match for retrieval-focused AI engineering role. 7 years at Meesho, Swiggy building semantic search, ranking, or retrieval systems with GANs, FAISS, ASR. Behavioral signals: actively looking and open to work; strong open-source activity (github score 86.4); willing to relocate; high recruiter search visibility (388 appearances in 30d). JD fit: meets the 5-9 year experience requirement (7 yrs); demonstrates retrieval/ranking expertise required by the JD."
CAND_0066999,18,0.6654,"Rank #18: Strong match for retrieval-focused AI engineering role. 6 years at Microsoft, Amazon building semantic search, ranking, or retrieval systems with Image Classification, OpenSearch, JavaScript. Behavioral signals: actively looking and open to work; immediate availability (notice period 15 days); strong open-source activity (github score 94.4); willing to relocate; high recruiter search visibility (619 appearances in 30d). JD fit: meets the 5-9 year experience requirement (6 yrs); demonstrates retrieval/ranking expertise required by the JD."
CAND_0041669,19,0.6645,"Rank #19: Strong match for retrieval-focused AI engineering role. 8 years at CRED, Mad Street Den building semantic search, ranking, or retrieval systems with FAISS, Milvus, PEFT. Behavioral signals: actively looking and open to work; strong open-source activity (github score 70.9); high offer acceptance rate (0.82); high recruiter search visibility (326 appearances in 30d). JD fit: meets the 5-9 year experience requirement (8 yrs); demonstrates retrieval/ranking expertise required by the JD."
CAND_0061265,20,0.6591,"Rank #20: Strong match for retrieval-focused AI engineering role. 7 years at Zoho, Observe.AI building semantic search, ranking, or retrieval systems with Qdrant, SQL, Accounting. Behavioral signals: actively looking and open to work; high recruiter engagement (response rate 0.94); strong open-source activity (github score 79.8); high recruiter search visibility (461 appearances in 30d). JD fit: meets the 5-9 year experience requirement (7 yrs); demonstrates retrieval/ranking expertise required by the JD."
CAND_0042029,21,0.6572,"Rank #21: Strong match for retrieval-focused AI engineering role. 6 years at Flipkart, Observe.AI building semantic search, ranking, or retrieval systems with YOLO, PyTorch, NLP. Behavioral signals: strong open-source activity (github score 78.7); high offer acceptance rate (0.83); willing to relocate; high recruiter search visibility (209 appearances in 30d). JD fit: meets the 5-9 year experience requirement (6 yrs); demonstrates retrieval/ranking expertise required by the JD."
CAND_0093193,22,0.6572,"Rank #22: Strong match for retrieval-focused AI engineering role. 8 years at Niramai, Netflix building semantic search, ranking, or retrieval systems with Ranking Systems, Text Encoders, Indexing Algorithms. Behavioral signals: actively looking and open to work; high recruiter search visibility (777 appearances in 30d). JD fit: meets the 5-9 year experience requirement (8 yrs); demonstrates retrieval/ranking expertise required by the JD."
CAND_0068351,23,0.6567,"Rank #23: Strong match for retrieval-focused AI engineering role. 6 years at Sarvam AI, Verloop.io building semantic search, ranking, or retrieval systems with pgvector, Deep Learning, Qdrant. Behavioral signals: high recruiter engagement (response rate 0.86); immediate availability (notice period 0 days); high recruiter search visibility (1347 appearances in 30d). JD fit: meets the 5-9 year experience requirement (6 yrs); demonstrates retrieval/ranking expertise required by the JD; has the required expert-level Python."
CAND_0055905,24,0.6531,"Rank #24: Strong match for retrieval-focused AI engineering role. 8 years at Flipkart, Uber building semantic search, ranking, or retrieval systems with Elasticsearch, ASR, Hugging Face Transformers. Located in London, outside preferred cities. Behavioral signals: actively looking and open to work; high recruiter engagement (response rate 0.87); high offer acceptance rate (0.93); high recruiter search visibility (392 appearances in 30d). JD fit: meets the 5-9 year experience requirement (8 yrs); demonstrates retrieval/ranking expertise required by the JD; has the required expert-level Python."
CAND_0061257,25,0.6514,"Rank #25: Strong match for retrieval-focused AI engineering role. 8 years at LinkedIn, Yellow.ai building semantic search, ranking, or retrieval systems with PEFT, Haystack, Time Series. Behavioral signals: actively looking and open to work; high recruiter engagement (response rate 0.87). JD fit: meets the 5-9 year experience requirement (8 yrs); demonstrates retrieval/ranking expertise required by the JD; has the required expert-level Python."
CAND_0027691,26,0.651,"Rank #26: Strong match for retrieval-focused AI engineering role. 6 years at Haptik, Vedantu building semantic search, ranking, or retrieval systems with SAP, LoRA, PEFT. Behavioral signals: actively looking and open to work; immediate availability (notice period 15 days). JD fit: meets the 5-9 year experience requirement (6 yrs); demonstrates retrieval/ranking expertise required by the JD; has the required expert-level Python."
CAND_0074735,27,0.6501,"Rank #27: Strong match for retrieval-focused AI engineering role. 6 years at Rephrase.ai, Netflix building semantic search, ranking, or retrieval systems with YOLO, RAG, Prompt Engineering. Located in Chandigarh, Chandigarh, outside preferred cities. Behavioral signals: actively looking and open to work; strong open-source activity (github score 87.7); high recruiter search visibility (391 appearances in 30d). JD fit: meets the 5-9 year experience requirement (6 yrs); demonstrates retrieval/ranking expertise required by the JD."
CAND_0017960,28,0.6471,"Rank #28: Strong match for retrieval-focused AI engineering role. 8 years at Nykaa, Wysa building semantic search, ranking, or retrieval systems with LlamaIndex, QLoRA, Hugging Face Transformers. Behavioral signals: actively looking and open to work; strong open-source activity (github score 92.4); willing to relocate; high recruiter search visibility (899 appearances in 30d). JD fit: meets the 5-9 year experience requirement (8 yrs); demonstrates retrieval/ranking expertise required by the JD; has the required expert-level Python."
